酒店名称,评论日期,评论内容,入住房型
H37,2020-01-01,房间很大，干净。景色一流。,高级大床房
H37,2020-01-01,lucky服务好good,高级双床房
H37,2020-01-01,早餐较丰富，有中西式早餐。建议中，西早餐放同一位置。,高级大床房
H37,2020-01-01,环境很好，设备很齐全，附近商圈热闹，下次还会入住,高级大床房
H37,2020-01-03,适合出差的酒店。,东方行政房
H37,2020-01-03,如果仅仅作为一个普通酒店我觉得能给3.5星，作为一个5星酒店设施老旧给2星，前台和餐厅服务态度给1星，卫生很一般，浴缸很明显的黄色东西和痰一样，还有那个浴巾也有一坨黄色东西那个下午茶真心垃圾，基本没啥东西吃还收费那么贵给1星，综合给这个5星酒店2颗星,高级大床房
H37,2020-01-03,来住了三天房间很大 服务不错夜床服务很贴心，还赠送了入住水果 前台lucky小姐姐很可爱，感觉就像回家了一样,高级大床房
H37,2020-01-03,**地标建筑，干净。,高级大床房
H37,2020-01-04,非常漂亮，喜欢,高级大床房
H37,2020-01-04,老牌五星级酒店，比较正规,东方套房
H37,2020-01-08,非常不错的住宿体验！,高级大床房
H37,2020-01-09,非常好。我喜欢,高级大床房
H37,2020-01-11,空调很热哦,豪华双床房
H37,2020-01-12,不错，50楼的夜景，房间够大。床铺舒服。,豪华双床房
H37,2020-01-12,酒店附近是商业区，吃喝玩逛很方便,高级双床房
H37,2020-01-12,服务态度好美金,豪华大床房
H37,2020-01-12,服务态度好美金,豪华大床房
H37,2020-01-12,地点**正中心，但是交通太拥堵了，出入拥堵的交通，酒店高层视野好，但是酒店卫生情况并不好！床有虫子，地毯和窗帘都有污渍。,高级双床房
H37,2020-01-12,住過超過十次，購物中心購物方便，附近有很多美食,高级大床房
H37,2020-01-12,环境不错！服务态度好美金,豪华大床房
H37,2020-01-13,Helen很不错 前台的服务态度很好 还可以升级房间,高级大床房
H37,2020-01-13,非常好，很有品味的酒店,高级大床房
H37,2020-01-13,Kevin服务好 酒店大 房间还做了升级 推荐入住,豪华大床房
H37,2020-01-14,环境真的有点失望,高级双床房
H37,2020-01-14,lucky服务热情,高级大床房
H37,2020-01-14,前台helen服务态度很好,高级大床房
