酒店名称,评论日期,评论内容,入住房型
H50,2020-01-01,位置好，服务也不错，推荐！,童趣房
H50,2020-01-01,经过装修后设施一流。房价偏高,高级大床房
H50,2020-01-02,设施旧一点，还算干净，性价比高！,高级双床房
H50,2020-01-02,出差特别好，价格不贵，周边方便！就是隔音不好,高级双床房
H50,2020-01-02,没吃早餐，周边去哪都方便,高级双床房
H50,2020-01-02,设施差点，但是方便！周边还蛮多吃的,高级双床房
H50,2020-01-02,酒店看着很气派！房间也很干净，我们三个人没有订到套房，标间加了张床。酒店地理位置很好，周边商场，药店，饭店都很齐全。最方便的是机场大巴直达！,高级双床房
H50,2020-01-02,性价比可以，就是隔壁说话声太大，有点吵，隔音不好,高级双床房
H50,2020-01-02,酒店位置很方便。机场大巴直达。前台服务员很热情。没定早餐。,高级双床房
H50,2020-01-02,还可以吧……,豪华大床房
H50,2020-01-02,哈哈哈哈哈,豪华双床房
H50,2020-01-03,酒店还是不错的！服务热情！卫生干净。交通很方便，机场大巴直接到酒店！唯一遗憾的是附近饭店不多！总的来说还可以接受！,高级双床房
H50,2020-01-03,very good,高级大床房
H50,2020-01-04,酒店位置不错,高级双床房
H50,2020-01-04,酒店门口有机场大巴，来回机场方便。酒店房间干净，有枕头可以选择。赞??离苏宁广场很近10分钟，吃饭看电影方便。,高级双床房
H50,2020-01-06,酒店装修非常不错，有新年的风格，值得推荐,高级双床房
H50,2020-01-06,酒店还不错,高级大床房
H50,2020-01-07,很安静，景色好,豪华大床房
H50,2020-01-08,真是碰到奇葩人。入住出现些麻烦 要出处理 ，想着书包重不想带 前台说可以寄存。我拿去旁边寄存 什么态度啊一个大叔慢悠悠的太慢着说稍等。等一会就问有没有房卡 没有房卡寄存要收费。都解释了我要去派出所办理手续才能入住 我忘记带证件。我有订单号。怎么说都不可以。最后只好带到自己车上。 太无语。酒店装修已经老了。 位置也不好找 导航一直跑背面去。,豪华大床房
H50,2020-01-08,酒店地理位置非常好，去哪里都方便，而且机场大巴就停在酒店门口，出行异常快捷。酒店硬件有点陈旧，尤其隔音极差，关门声响动静太大，这个只能碰运气看其他住户个人素质，遇见乒乒乓乓来回开门关门的，也只能一声叹息了。,高级大床房
H50,2020-01-09,房间环境很不错，有停车场，,高级大床房
H50,2020-01-09,早餐很普通和一般五星比起来,高级双床房
H50,2020-01-09,酒店比较老了、还会有宴会、所以比较吵！比起住的同价位酒店可以说性价比超低,童趣大床房
H50,2020-01-09,酒店位置相当好，但价格有些偏贵，二线城市的五星酒店整体要好过这里。服务上有退步，房间喝的茶没有了也不添上。特别去中餐厅吃饭，上菜速度奇慢，吃完了最后一个菜才上，都一个小时了??,高级大床房
H50,2020-01-10,按五星标准只能算过得去，机场大巴在酒店楼下是优势，房间最多四星标准,高级双床房
H50,2020-01-12,酒店非常方便的是机场有快速大巴直接到达，酒店地理位置离好吃的也比较近，而且每晚都有贴心的送上甜品，非常满意,高级双床房
H50,2020-01-13,交通方便，停车方便，市中心。,高级大床房
H50,2020-01-13,前台服務態度親切，有求必应；房间卫生可以；早歺丰富；附近商场、食店臨立；机场、高铁專缐巴士的市中心终点站，绝对方便！,高级双床房
H50,2020-01-13,几十年了，保养很好，服务热情周到，快捷。一楼饮早茶很好吃，点心品种很多，出行很方便，附近美食很多，叫滴滴快车也相当方便,高级大床房
H50,2020-01-13,酒店所以市中心，交通方便，设施，服务都还可以,高级大床房
H50,2020-01-13,早餐吃的很开心,豪华大床房
H50,2020-01-13,感觉非常好??,高级双床房
H50,2020-01-14,说实话，当地没什么好的酒店，这个算不错了。,高级大床房
H50,2020-01-14,旅游探亲访友好居处！,豪华双床房
H50,2020-01-15,挺OK的环境,高级大床房
H50,2020-01-16,早餐吃的是不错,高级大床房
H50,2020-01-16,酒店还可以,高级双床房
H50,2020-01-17,酒店有高铁和机场班车直达，出行方便。,高级大床房
H50,2020-01-19,绝对好地方，外边公交也很多，属于市中心的位置，非常理想，早餐菜品也很丰富。大厅宽畅气派。下次出行还会来,高级大床房
H50,2020-01-20,位置好，坐机场大巴和公交都方便,高级双床房
H50,2020-01-21,水准一直稳定，地区方便！,豪华双床房
