酒店名称,评论日期,评论内容,入住房型
H05,2020-01-01,非常棒，还有一个生日礼物，感动！,花园客房
H05,2020-01-01,酒店室内很冷,行政粤韵客房
H05,2020-01-02,跨年夜和女朋友选择了**酒店，作为一个老牌的广州五星酒店，**酒店的大堂够气派，地理位置也相当好，楼下就是淘金地铁站，房间相对旧了一点，设计也不太合理，浴缸就在床边上，而且想泡浴缸也没有浴缸套，前台服务员态度很好，房务阿姨态度相对一般。胜在价格性价比高，下次可能还会选择,花园客房
H05,2020-01-02,交通便利，服务很好,花园客房
H05,2020-01-02,服务很好，早餐不错,花园客房
H05,2020-01-02,经常入住的酒店 非常不错,行政套房
H05,2020-01-02,每次来广州指定住的酒店，宾至如归,花园客房
H05,2020-01-02,服务很好，早餐不错??,花园客房
H05,2020-01-02,酒店位置优越，不愧是老牌五星酒店，房间布置细节、用品、卫生都很到位。唯一是通过非酒店直营订房不可享受酒店餐厅折扣这个不太满意。,花园客房
H05,2020-01-03,一如既往的满意,花园客房
H05,2020-01-04,一个大酒店，惦记我那点押金嘛！不退？垃圾！,花园客房
H05,2020-01-04,房间套房很不错,行政粤韵客房
H05,2020-01-04,总体感觉可以,花园客房
H05,2020-01-04,地理位置好，服务周到,行政粤韵客房
H05,2020-01-04,这个酒店一如既往的好,花园套房
H05,2020-01-04,在线教育部门负责人在接受记者,花园套房
H05,2020-01-05,太舒服了，,花园客房
H05,2020-01-05,就是好住着舒服舒心,花园客房
H05,2020-01-05,到底是星际酒店啊,花园客房
H05,2020-01-05,还可以吧，就是贵了点,花园客房双床
H05,2020-01-06,很好，一大早到了广州，试试看能不能入住，立马办了入住，还送了所有人早餐，??！,花园客房
H05,2020-01-06,交通方便，位置优越。,花园客房
H05,2020-01-06,环境还可以，态度好。位置好,花园客房
H05,2020-01-06,酒店不错，床也非常舒适，卫生干湿分离很好，唯一的缺陷是淋浴房外面设计有问题，一洗澡里面水都会出来，一点办法也没有，这个估计要改造才行了。,花园客房
H05,2020-01-06,位置环境服务很好,花园客房
H05,2020-01-06,环境服务很赞,花园客房
H05,2020-01-06,全国仅有3间白金五星酒店之一，软硬件不错，地理位置佳，交通便利，是旅游休闲度假的最佳选择，客人很满意。,花园客房
H05,2020-01-07,行政套房减掉好多配套服务 说是今年改的 连欧舒丹也没有了,行政套房
H05,2020-01-07,快捷干净 网络便利,花园客房
H05,2020-01-07,地理位置优越,花园客房
H05,2020-01-08,it was a great trip,花园客房
H05,2020-01-08,不错的酒店，位置很好,花园客房
H05,2020-01-08,环境不错。,花园客房
H05,2020-01-08,有停车场可以免费停车,花园客房
H05,2020-01-08,很不错、床很舒服,花园客房
H05,2020-01-08,这是我近两年住过的惊喜最多的酒店(o^^o)非常开心的体验^_^住了两天都是中式早餐，品种不算多，但味道极其正宗，最喜欢 蒸排骨凤爪 粥也不错 一定要配旁边的脆油条(^_^)v……大堂 大气磅礴……在临走之前还发现了隐藏的后花园 美不胜收！！！,花园客房
H05,2020-01-09,酒店免费升级，超级享受，很满意！,花园客房
H05,2020-01-09,好好好好好,花园客房
H05,2020-01-09,交通方便 老五星综合质量不错 但前台效率太低 排队时间太长 房间电话居然坏了,花园客房
H05,2020-01-10,酒店不错，就是办入住时间太长，没有积极性！,花园客房
H05,2020-01-10,老牌酒店有味道,花园客房
H05,2020-01-10,有点老旧了。 check in排队等了超过半个小时。问前台为什么这么久，居然回复：因为有些住客问题太多。这样甩锅的行为第一次碰到，而且毫无抱歉愧疚之意。不推荐！但帮提行李的尼泊尔小伙儿服务好评！,花园客房
H05,2020-01-11,浴室没有隔开 推荐家人同同住 否则洗澡出来没有隐私直接会被看光,花园客房
H05,2020-01-11,早晨不错滴，是广州最早的五星酒店之一,花园客房
H05,2020-01-11,性价比很高,花园客房
H05,2020-01-12,经典老牌酒店 虽然相比起现在很多星际酒店环境相对老式 还是不失大气,花园客房
H05,2020-01-12,酒店不錯，位置和服務都很好,花园客房
