酒店名称,评论日期,评论内容,入住房型
H40,2020-01-01,很好的一次住房体验，订的是经典客房 我喜欢的风格 酒店很贴心的服务 一呼百应 每个房间配备了精油，让人心旷神怡,经典双人房
H40,2020-01-01,放松悠闲好去处，早餐一流,玫瑰园(两房一厅)
H40,2020-01-01,第二次入住**酒店，一如既往的满意……半山环绕，郁郁葱葱的山林景色，赏心悦目的田园风光，优质的温泉，构成了度假区的独特风韵和宁静……服务親切有礼，餐饮食材好……美中不足的是那天餐厅被某顺德一企业包了几围搞团建，吃个饭就像搞传销般在不停喊口号，导致整个餐厅嘈冤巴闭，严重影响我们的就餐，真心建議餐厅能作此改观……,经典单人房
H40,2020-01-01,出品保持高水准,龙源别墅三房一厅
H40,2020-01-01,一般，早餐可以。,经典双人房
H40,2020-01-01,酒店很贴心，送了水果，红酒，饮料，服务员的态度也非常不错，早餐有金钱肚，凤爪等早点，牛腩粉的牛腩份量十足，味道不错。吃了午饭也没吃了，省了！还送了200元餐券吃晚餐，餐厅消费不贵，新鲜，值得表扬，会再来的！,玫瑰园(两房一厅)
H40,2020-01-02,非常适合情侣游和家庭亲子游！环境好！空气好！温泉池多，服务周到，早餐非常棒！还有每个房间餐费代金券，挺超值的，非常推荐喔！停车位多。,豪华单人房
H40,2020-01-02,环境很好，温泉池多，私密性高，泉水干净，温度适宜，服务周到，早餐非常棒，值得多次游玩的地方。非常推荐喔！,豪华单人房
H40,2020-01-02,优美的环境，热情的服务,豪华双人房
H40,2020-01-02,无意中发现的好地方，第一次去到花园式的天然自然环境、空气清新、房间安静；无限次入温泉、水温适中而且水池子比较多，度假休假的胜地，早餐丰富并且入住还给我们100元的餐厅票，餐厅收费不贵，非常好下次休假会继续入住。,经典双人房
H40,2020-01-03,环境很好，早餐丰富很开心的一次旅游,龙源别墅三房一厅
H40,2020-01-03,老人家好喜欢,经典双人房
H40,2020-01-04,洒店旧了一點，温泉算可以,豪华双人房
H40,2020-01-05,很满意！过年再预定,豪华双人房
H40,2020-01-05,南区亲水房特别适合带孩子的家庭，亲水泳道直接可以到达公共温泉池，但早上走廊过道比较吵，容易被吵醒，餐厅出品味道不错，值得推荐,豪华单人房
H40,2020-01-06,每年都会去2、3次的酒店,豪华双人房
H40,2020-01-06,温泉不错，硫磺泉,豪华双人房
H40,2020-01-06,环境舒适，安静,经典双人房
H40,2020-01-06,周围绿化有待改善,经典双人房
H40,2020-01-06,别墅设施完善，服务到位，价格性价比高。,玫瑰园(两房一厅)
H40,2020-01-07,服务再周到一些,玫瑰园(两房一厅)
H40,2020-01-07,很喜欢，下次再来。,豪华双人房
H40,2020-01-07,有时候再去。,豪华双人房
H40,2020-01-07,不错，下次再去。,豪华双人房
H40,2020-01-08,感觉很不错，来过好几次了，在泡温泉的时候还有工作人员询问需不需要喝茶，我觉得很贴心，房间设施一切都不错，特别是早餐，好评,豪华双人房
H40,2020-01-09,早餐可以，平时去车位很多，温泉都可以,豪华双人房
H40,2020-01-09,喜欢环境，安静舒适,豪华双人房
H40,2020-01-09,酒店房内家俬都是红木家具，很有格调。酒店服务很贴心，一进入住的房间，淡淡的柠檬香味扑鼻而来，疲劳一扫而光。早中晚歺都是在酒店歺厅解决，歺厅出品的菜味道好，泥鳅豆腐汤，豉汁排骨超级美味.温泉池有30几个，功能型的挺全，服务人员态度很好，时不时会问要不要饮水，很贴心,豪华单人房
H40,2020-01-09,去渡假首选,经典双人房
H40,2020-01-10,第一次来**酒店，入住的体验简直可以拿完美来形容！我们入住的是玫瑰别墅区，这里环境安静，绿树环绕，路边的花儿长得娇艳欲滴，别墅里是中式的设计，客厅和两个房间的设计感都很强，里面的家私摆设都很讲究，个人特别注重的厕所和浴室都特别整理没有一点异味。床很舒服软硬适中。还有入住送的礼物也特别贴心。管家笑脸迎人能及时解决我们的需求。再说下泡温泉，温泉里面的工作人员感觉都是他们本地人多，都很热情主动服务客人，温泉池干净，种类不是非常多但是也够客人逐一体验。温泉池周围的景色也非常漂亮，我们泡的时间刚好是日落，夕阳西下，泡着暖暖的温泉，棒棒哒！下次还会再来！良心推荐！,玫瑰园(两房一厅)
H40,2020-01-10,太美太好服务的**酒店，每一个服务员没有多余的笑容但就是能感觉到都真诚……这个地方民风超好，才知道前一天住的那个高大上的禅泉也是这个老板开的，难怪用品一样精致……性价比超高！,豪华双人房
H40,2020-01-10,园区环境优雅，绿树成荫，别墅的装潢风格古色古香，高大上，还赠送了水果、小吃和饮料，服务贴心，朋友们都很赞????,水上皇宫四房两厅
H40,2020-01-11,挺不错的泉水,小龙河
H40,2020-01-12,第一次入住**酒店，环境很好，我还绕酒店跑了几圈；温泉也不错，性价比挺高的，送早餐和正餐券100元，早餐的品质也很赞，非常满意的体验，还会再来的。,豪华双人房
H40,2020-01-12,这一家真的非常推荐！虽然酒店外墙比较旧，但酒店内的卫生做得非常好，装修设计也很特别，全是中式的家具，很有档次，完全超我们所预想的，而且服务人员都很有礼貌，服务超赞。温泉??区的水非常干净，一天换n次水，亲眼目睹。我一定会再来的，推荐！,经典双人房
H40,2020-01-12,很好，周围空气不错,豪华单人房
H40,2020-01-12,真的不错，推荐。,经典双人房
H40,2020-01-13,环境非常好，静谧，原生态的感觉，园林既有原始的风情，却又不杂乱，很喜欢，流水淙淙，鸟鸣花香，温泉池很多，非常好。,玫瑰园(两房一厅)
H40,2020-01-13,什么都好，就是温泉设施有些陈旧，需要更新一下啦！,湖景别墅
H40,2020-01-13,古典古式古乡，传统。,经典单人房
H40,2020-01-14,家一样感觉，度假休闲好地方，每次新兴泡温泉首选。,豪华双人房
H40,2020-01-16,确实不错，800块一个房间，性价比是相当可以了。 中式装修的房间大气，静谧隐私; 温泉池挺多、水干净（特别是早上吃完早餐9点休息下就去泡温泉，温泉刚放水，包池特别舒服），而且还有桑拿； 免费早餐的提供也不错，有金钱肚牛仔骨等。 交通的话，整个温泉片区都在那，离县城还是有点距离，晚餐中餐都要出去县城吃，县城还是很多东西吃，可尝下黄鳝羹。,豪华单人房
H40,2020-01-16,非常不错，比预想中的要好！很满意，一家人住的很舒服，自在。,玫瑰园(两房一厅)
H40,2020-01-18,很棒的酒店，从环境，装修，卫生，算是我住过的五星里边最好的。酒店有赠送新鲜的水果，还有一冰箱的饮料，很贴心。私泡池比较大，可以泡很久，水也不凉。下次会再来！,玫瑰园(两房一厅)
H40,2020-01-19,一如既往的好，房间很干净，入住送了餐厅现金券，可以第二天在餐厅实用，相对很划算。去泡温泉业很方便，有很多个池，服务也很到位,豪华双人房
H40,2020-01-22,服务好，环境佳，值得再来。干净卫生，群山环绕，真温泉好地方。,经典双人房
H40,2020-01-22,卫生，环境不错的酒店，床上用品比较舒适，早餐不错,豪华双人房
H40,2020-01-22,高档儒雅经典,豪华双人房
H40,2020-01-22,环境一流，空气清新，尧山而建，悠闲自在的好地方，服务好，温泉服务周到，酒店管理很好，值得推荐的地方,经典双人房
H40,2020-01-23,不错，温泉服务很好！,豪华双人房
