酒店名称,评论日期,评论内容,入住房型
H26,2020-01-02,非常满意，房间很大！孩子很喜欢！,高级大床房
H26,2020-01-03,位置临近竹子林地铁口，出行方便，房间宽敞明亮，早餐丰富有营养，服务周到细致，网速快，适合出差、居家旅行，强烈推荐。,高级双床房
H26,2020-01-03,交通便利，早餐种类丰富,高级大床房
H26,2020-01-04,感谢前台服务员小沈和小覃的帮助，非常好。,高级大床房
H26,2020-01-04,**酒店Emily推荐的，很好的酒店，位置很好，服务也很到位，还会再来哦！,高级大床房
H26,2020-01-05,环境很好。肖大虎先生也很友好,豪华大床房
H26,2020-01-05,环境很好。肖大虎先生也很友好。,豪华大床房
H26,2020-01-05,此次入住体验很棒，首先感谢的是前台小陈帮忙升级房间，海景房，景观很好，一眼能看到美丽的深圳湾。其次，客房服务员也非常热心，感受到了宾至如归的享受。第三，早餐相当的丰富，很nice。唯一不足的就是客房设施就是有点老旧了，总的来说性价比很高。,高级双床房
H26,2020-01-05,ERIC SHERRY EILEEN MELODYGOODSERVICE,高级大床房
H26,2020-01-05,由于行程原因多增加了一晚，感谢Emily的热心和负责帮忙，很完美的入住体验。,高级大床房
H26,2020-01-05,Old hotel,豪华大床房
H26,2020-01-06,我们是长住客了，前台刷停车卡的，态度也很好，大堂经理有个叫李帆的服务热情周到，让人感觉舒服,高级大床房
H26,2020-01-06,环境很一般，性价比超低。,高级双床房
H26,2020-01-07,早餐非常好,豪华双床房
H26,2020-01-07,很好的酒店，离地铁站近，去世界之窗、欢乐海岸只需一站。,高级双床房
H26,2020-01-07,感谢前台Emily。,高级双床房
H26,2020-01-07,带家人去的 各方面都还不错,高级大床房
H26,2020-01-07,带家人去的 各方面都还不错,高级大床房
H26,2020-01-08,有停车场 房间很整洁,高级大床房
H26,2020-01-08,前台李文文小姐接待热情周到，想顾客所想，详细解释酒店设施和服务，介绍周围游览去处，令我们有宾至如归的感觉。,高级大床房
H26,2020-01-08,房间还是不错的，就是本来预订两晚，临时有事早走，怎么也不肯退，且收整晚房费，非常不合理。,高级大床房
H26,2020-01-09,此次入住体验很棒，首先感谢的是前台小陈帮忙升级房间，海景房，景观很好，一眼能看到美丽的深圳湾。其次，客房服务员也非常热心，感受到了宾至如归的享受。第三，早餐相当的丰富，很nice。,高级大床房
H26,2020-01-09,位置临近竹子林地铁口，出行方便，房间宽敞明亮，早餐丰富有营养，服务周到细致，网速快，适合出差、居家旅行，强烈推荐。,行政高级大床房
H26,2020-01-09,装修的有点久。其他都不错。,行政高级大床房
H26,2020-01-09,Good service,豪华双床房
H26,2020-01-09,房间很大，可以加床的；早餐非常丰富，中西式点心，加上即煎蛋和煮面（粉），水果、咖啡丶基本上都齐全了；有停车场；交通便利，地铁1号线竹子林站B2出口上来就是酒店了。,高级大床房
H26,2020-01-10,酒店很新很干净,高级大床房
H26,2020-01-10,前台服务好。感谢前台Emily。Kk。Jacky。MiFfi。,高级大床房
H26,2020-01-10,给前台Emily点个赞，服务特别好！,行政高级双床房
H26,2020-01-10,性价比还好的，前台Emily小姐姐人很热情很漂亮！,高级大床房
H26,2020-01-10,前台Emily服务特别好，每次都特别热心，为我解决问题！给Emily点个赞！,豪华大床房
H26,2020-01-11,酒店确实不错,高级双床房
H26,2020-01-12,交通便捷，距离地铁1号线很近，对面福田汽车总站下面很多吃食，两个大床很实用，带孩子的首选，不错不错！,豪华双床房
H26,2020-01-12,该酒店位置好，交通方便，就在一号地铁站口，如果自驾车，有时感觉停车不是很方便，尤其是大门口指导停车的保安，服务一般般，感觉不到五星级酒店的服务水平。,豪华大床房
H26,2020-01-12,帮朋友定的，没有不好反馈，默认好评。帮朋友定的，没有不好反馈，默认好评。帮朋友定的，没有不好反馈，默认好评。,高级大床房
H26,2020-01-12,平生最差的一次酒店体验！！我住过很多不同城市超过30家四五星级酒店，深圳**的服务和管理是最差的！第一，窗户封死不允许打开，一条缝隙也不行，不喜欢没有自然风交流；第二，处理问题没有站在客户的立场，而恰恰这是服务水平的体现和差异。直说吧，这个价位下次考虑圣淘沙或者**酒店吧。,高级大床房
H26,2020-01-13,酒店很不错 适合住,高级大床房
H26,2020-01-13,房间舒适，方便，位置好,高级大床房
H26,2020-01-13,酒店很不错 继续入住,高级双床房
H26,2020-01-13,比较奢华，深圳来说算不错的,高级大床房
H26,2020-01-13,整体不错，性价比高，服务不错，票台小沈很热情，就是装修偏旧。,豪华双床房
H26,2020-01-14,前台漂亮大方的李雪莹（Sherry Li）小姐姐，服务热情且周到，细心又体贴，真真让人过目难忘，如沐春风。不禁让人赞叹，宾至如归，莫过于此，精进如斯，不亦异乎！祝贵酒店全体同仁新年快乐！,高级大床房
H26,2020-01-14,位置不错，在竹子林地铁站站口，出行很方便。房间中规中矩，略显老气，彷佛有种穿越回90年代宾馆的感觉，居然没有淋浴间，只有浴缸，不甚方便，欢迎45岁以上人士入住。,高级大床房
H26,2020-01-15,服务态度很好，特别是5号 前台,高级双床房
H26,2020-01-15,交通便利，价格适中,高级大床房
H26,2020-01-16,出差，交通方便。早餐不错。,高级双床房
H26,2020-01-16,再次入住**酒店，大堂经理肖大虎一如既往地热情并积极处理反馈的淋浴地漏问题，并免费做了升级，非常周到和专业,高级大床房
H26,2020-01-17,早餐丰富 口味好,高级大床房
H26,2020-01-17,消常，小陈，小蔡，小黄，小杨态度都非常好,豪华大床房
H26,2020-01-18,酒店有点老旧， 位置很好 在地铁口,高级大床房
H26,2020-01-19,這個酒店是真值得推薦。裡面好大，完全沒有味道。我喜歡這種很實在的裝飾，完全不花哨，但是看著很穩重，窗外景色也不錯，用品豐富。交通方便。以後過去深圳就住這一間。,高级大床房
H26,2020-01-19,地理位置方便，出酒店大门就是地铁,高级双床房
H26,2020-01-22,豪华双人房床1.8宽两张床够一家人???????????住了,豪华双床房
H26,2020-01-23,前台小陈很有礼貌！,高级双床房
H26,2020-01-24,小陈升级的房间很好，并且他推荐了微信餐厅优惠活动，去用了晚餐，菜品比较丰富哦！,高级双床房
H26,2020-01-26,不错价廉物美,高级双床房
H26,2020-01-26,就在地铁站旁边，很方便,豪华双床房
H26,2020-01-26,早餐很丰富、中西合璧,高级双床房
H26,2020-01-26,前台小甘非服务常不错哈，酒店周围有政府各部门，大路干净宽敞，离欢乐海岸比较近。,高级大床房
H26,2020-01-27,每次来深圳首选,高级大床房
H26,2020-01-27,出差竹子林，住这里很方便,高级双床房
H26,2020-01-27,老住户了。来深圳时的首选。,高级双床房
H26,2020-01-28,酒店一如既往地服务好人气旺,高级大床房
H26,2020-01-29,房间太小 洗澡水压不好,高级大床房
H26,2020-02-05,感谢酒店前台Emily。 入住体验非常好,高级大床房
H26,2020-02-07,不错的选择，交通便利。,高级双床房
H26,2020-02-10,出行方便，商务入住，还不错。,高级大床房
H26,2020-02-11,电视信号差,豪华大床房
H26,2020-02-16,设施非常陈旧，不值五星的水准！早餐有客人在的时候进行消毒，而且将消毒水喷洒在食物桌上！前台结账时不提醒客人报车牌号码免停车费！服务根本达不到五星的标准！极度失望！,高级大床房
H26,2020-02-16,因为疫情，本人提前退订，可跟酒店沟通了好多次都不予理会，一点没有人情味，不人性化管理的酒怎么能长久？,高级大床房
H26,2020-02-17,很不错的酒店,高级大床房
H26,2020-02-29,地段很好，酒店不错,高级大床房
H26,2020-02-29,地段很好，酒店还不错,高级大床房
H26,2020-03-12,价格实惠，早餐很不错,高级大床房
