酒店名称,评论日期,评论内容,入住房型
H19,2020-01-01,服务超级棒,高级客房
H19,2020-01-01,早餐还不错，十点半没到有服务员来赶,高级客房
H19,2020-01-01,毎月宿泊、部屋宿泊。非常。,高级客房
H19,2020-01-02,酒店很干净 入住方便 地理位置好,行政客房
H19,2020-01-02,酒店不错很方便,豪华客房
H19,2020-01-02,房间比较小,高级客房
H19,2020-01-02,早班飞机和晚班飞机的不二选择,豪华客房
H19,2020-01-02,还不错哦！,高级客房
H19,2020-01-03,服务态度不好,豪华客房
H19,2020-01-03,非常好的酒店,豪华客房
H19,2020-01-03,有点儿小贵呦,高级客房
H19,2020-01-03,方便出行，服务好,豪华客房
H19,2020-01-03,设施有点旧,高级客房
H19,2020-01-03,方便，干净，就就是有点贵,豪华客房
H19,2020-01-04,服务很棒哦,豪华客房
H19,2020-01-04,一如既往的方便,豪华客房
H19,2020-01-04,早餐很好 屋里也好,豪华客房
H19,2020-01-04,干净 安静 方便搭乘早上飞机 晚餐也不错,高级客房
H19,2020-01-04,总体来看还不错，餐饮贵了一些,豪华客房
H19,2020-01-04,一般 唯一优点离航站楼近,行政客房
H19,2020-01-04,环境不错??位置方便,高级客房
H19,2020-01-04,早餐非常丰富 基本都有，有免费的停车位 如果坐晚上的飞机达到广州 最好就是** 方便 不用再打车跑出去，特别行李多带孩子！非常推荐,高级客房
H19,2020-01-05,还可以 就在机场里面 但是设备有点旧,高级客房
H19,2020-01-05,还不错 多次入住了，满意还不错 多次入住了，满意还不错 多次入住了，满意还不错 多次入住了，满意,高级客房
H19,2020-01-05,房间很舒服，主要是离机场很近！做早上的航班非常便利！早上酒店从5点开始，就每20min有小班车进T2航站楼！所以很方便！,高级客房
H19,2020-01-05,非常方便的,高级客房
H19,2020-01-05,服务非常满意,高级客房
H19,2020-01-05,住这里就是转机的时候入住，没啥特别的。就是图方便。,高级客房
H19,2020-01-05,服务真的很棒 设施有一点点旧,高级客房
H19,2020-01-06,Convenient for the flight traveling Service is okay. Very disappointed is the spaghetti in the cafe this time is too salty. Overall the hotel is good.,高级客房
H19,2020-01-06,早点还好，靠近机场很方便。,豪华套房
H19,2020-01-06,Very convenience for my early flight. If you want a stay in a hotel that is up to the standard. Pullman is a good option.,高级客房
H19,2020-01-07,很好的体验哦,高级客房
H19,2020-01-07,停车方便吗？,高级客房
H19,2020-01-07,过了通道就是机场，方便！卫生、服务都很好！,豪华客房
H19,2020-01-08,Perfect hotel and location! Walking distance to the main sites,高级客房
H19,2020-01-08,不错！还可以，转机方便，推荐！,豪华客房双床房
H19,2020-01-08,toujours trs professionnel,高级客房
H19,2020-01-08,非常好，一如既往的好。,高级客房
H19,2020-01-08,很方便，服务态度好,高级客房
H19,2020-01-09,之前已经写过了，这家酒店都挺好的，早餐丰富，服务态度热情。,高级客房
H19,2020-01-09,非常好，每次遇上早机或者夜归都会订这间酒店，这次还升级到套房，服务很好，早餐丰富，离T1航站楼三分钟路程，系机场最好的酒店了。,高级客房
H19,2020-01-09,适合转机出行,豪华套房
H19,2020-01-09,地理位置优越,高级客房
H19,2020-01-09,在机场区，两个航站楼之间，酒店有免费巴士送客到航站楼,高级客房
H19,2020-01-10,要坐早上的飞机很方便,高级客房
H19,2020-01-10,搭乘从广州白云机场出发早班机，商务客人必选酒店，环境优雅，餐厅口味丰富。从酒店步行至登机口，只需数分钟，极为便利,高级客房
H19,2020-01-10,方便舒适适合入住,豪华客房
H19,2020-01-10,非常棒的酒店，去机场很方便！,行政客房
H19,2020-01-10,到机场很方便，酒店有定时接送服务。,高级客房
H19,2020-01-10,夜班飞机到广州，第二天一早就离店了。设施服务都是标准国际连锁五星酒店水准。早餐品种比较多，口味也不错。,高级客房
H19,2020-01-10,酒店位置非常优越，距离机场的两个航站楼都比较近，还有免费的汽车接驳，非常适合出行，早餐也非常好吃，赞一个哦。,豪华客房
H19,2020-01-11,酒店服务好，近机场方便,高级客房
H19,2020-01-12,酒店很差劲，设施已经老化得厉害。客房通道一股异味，房间的一次性用品都是低档货。客房就一张薄薄的被子。,高级客房
H19,2020-01-12,非常好，方便。,豪华客房
H19,2020-01-12,离机场非常近 安静 舒适,高级客房
H19,2020-01-12,位置非常好，服务也比较到位,高级客房
H19,2020-01-12,环境非常好，交通方便，已经多次入住，推荐赶早机的朋友们。 环境非常好，交通方便，已经多次入住，推荐赶早机的朋友们。,高级客房
H19,2020-01-13,经常入住的酒店,高级客房
H19,2020-01-13,就在机场中间，开车可到酒店大门口，非常方便。,高级客房（双床）
H19,2020-01-13,环境舒适，前台服务员礼貌周到！,高级客房
H19,2020-01-13,离机场五分钟车程，还算近,豪华客房
