酒店名称,评论日期,评论内容,入住房型
H25,2020-01-01,很滿意 也很容易找到,高级大床房
H25,2020-01-01,高層景觀不錯，房間清潔，只是外牆玻璃窗早上發出 霹靂啪嘞聲響，影響睡眠，可能是冷縮熱脹關係吧，玻璃窗質素需要調整。,高级大床房
H25,2020-01-01,深圳**酒店是华强北片区历史比较长的一家高端酒店，也是深圳市政府公务接待指定酒店，位置、服务、设施一直保持得很好，早餐丰富，停车方便，是出差度假的首选。酒店副楼的凤凰楼酒店菜品也是一流，特别是早茶，非常棒！,高级大床房
H25,2020-01-01,非常的好好服务,豪华客房
H25,2020-01-01,交通方便，,高级大床房
H25,2020-01-01,性价比很高，位置好,高级大床房
H25,2020-01-01,服务很到位,高级大床房
H25,2020-01-01,服务很到位,高级双床房
H25,2020-01-02,老五星酒店预期不能太高-只要性价比高 交通方便 房间还算大 游泳池 桑拿房都具备就值得住了，这酒店旁边还有两家“五星餐厅”-凤凰楼和春满园，主楼二楼还有珑玥会私房菜和日本餐，很可以了。我再次住了两天竟然没出去过酒店，凤凰楼珑玥会日本餐成为我们的饭堂，游泳池桑拿房成为我的休息室，关键是价格很吸引-五星级酒店新年特惠才不到400元，还想咋滴？,高级大床房
H25,2020-01-02,之前的评价一直置顶，性价比高，交通方便，游泳池桑拿房很棒。再次入住除了性价比高和游泳池桑拿之外，地铁口很近也是考虑因素。加上能从二楼直接去凤凰楼吃饭-造成入住两天竟然没出去过酒店大门??主楼二楼还多出了一个私房菜-珑玥会，女老板大概贪图我的“美色”主动送一瓶葡萄酒给我迎接2020年，哈哈??,高级双床房
H25,2020-01-02,很好！！！！,豪华客房
H25,2020-01-02,早餐早餐不实惠,高级大床房
H25,2020-01-02,临近地铁口出行方便,豪华客房
H25,2020-01-02,交通便利，位置优越！地铁3号、7号线就在酒店下方。服务好，性价比高！,高级大床房
H25,2020-01-02,位置好，性价比很高！,高级大床房
H25,2020-01-02,没什么好挑剔的，相当不错啦,高级大床房
H25,2020-01-02,经常住、老牌五星、经济实惠！,高级大床房
H25,2020-01-02,性价比不错,高级大床房
H25,2020-01-03,网上订的房，主楼大床房不到四百块。看到酒店大楼，一度怀疑自己眼花看错了价格。住得很舒服，真是物超所值,高级大床房
H25,2020-01-03,非常贴心？服务好常棒,高级大床房
H25,2020-01-04,老牌酒店了，位置非常好。。价钱是在做活动时订的。很划算。里面设施很陈旧。浴缸非常小。用的东西比较普通。,高级双床房
H25,2020-01-04,酒店位置好，服务也可以，就是老酒店了设施一般，隔音不好，隔壁房间声音听的很清楚,高级双床房
H25,2020-01-04,交通方便，楼下就是华新地铁口。对面华强北商圈有茂业购物中心，九层美食城各种吃的都有，吃饭也很方便，商务出差首选。,高级大床房
H25,2020-01-04,老牌五星、华强北商圈、经济很实惠！,高级大床房
H25,2020-01-04,老牌五星、很不错啦、经济又很实惠！,高级大床房
H25,2020-01-04,距离地铁站近，直接楼下就是。,高级大床房
H25,2020-01-04,除了设施不是很新外，其他都不错,高级大床房
H25,2020-01-04,不错，位置很好,高级大床房
H25,2020-01-05,房间细节不错,豪华行政房
H25,2020-01-05,非常推薦??,高级大床房
H25,2020-01-05,本年度第三次入住，位置好，方便,高级双床房
H25,2020-01-05,提前一天取消订单，被告知不能取消，扣了房费，没有入住。,高级大床房
H25,2020-01-06,非常好的酒店，推薦,高级大床房
H25,2020-01-06,还不错的选择,行政客房(全新装修)
H25,2020-01-06,两周之内来住了两次，最近性价比很高啊，可以抢到价格很合适的房间，又是老牌子五星级；位置也是非常市中心，去机场、南山、罗湖都很方便，关键是健身房泳池关门的时间也晚，到24点，恒温泳池，完了还能干蒸一下不错??,高级双床房
H25,2020-01-06,离步行街很近，购物十分方便,高级双床房
H25,2020-01-06,设备比较老旧。但是其他各方面还是很不错的,高级双床房
H25,2020-01-06,很好，下次过来还订这，交通非常方便，周边吃的也很多,高级双床房
H25,2020-01-06,还挺不错，虽然有一定年月，只是房间灯光有点暗，空调机有点吵，最后风量调最小就ok了，如果夏天一定睡不着..,高级大床房
H25,2020-01-06,酒店比较老旧了，干净卫生,高级双床房
H25,2020-01-06,位置很方便，服务很周到！,高级大床房
H25,2020-01-07,我很满意这酒店,高级大床房
H25,2020-01-07,好，有停车场,高级双床房
H25,2020-01-07,整体非常不错??,高级大床房
H25,2020-01-07,早餐不知道，没加床，没带小孩，位置可以，我没开车。早餐不知道，没加床，没带小孩，位置可以，我没开车。,高级双床房
H25,2020-01-07,朋友来给他订的，位置很好，隔壁的凤凰楼也同样好评。,高级大床房
H25,2020-01-07,又来住这家酒店了，性价比还是很高，也许正好是周一吧抢到了最划算的房间，其中还帮忙调整了一个单间，欢迎水果也不错??完全足够早上的热量；很喜欢四楼的泳池还有干蒸，还没几分钟就已经大汗淋漓特别通透,高级双床房
H25,2020-01-07,酒店位置超级棒。房间地毯打扫起来很难做到很干净。略老旧。,高级大床房
H25,2020-01-08,楼下有3号和7号地铁线，出行很方便，酒店历史悠久，但环境和卫生都不错，工作人员服务态度好,高级双床房
H25,2020-01-08,非常不错当然酒店，对面就是华强北，然后吸烟的人请注意，此酒店是全部为无烟房！,高级大床房
H25,2020-01-08,无论从酒店地址、员工服务和房间设施及舒适度上，**酒店都给我留下了很好的印象。因此，每次到深圳出差我都愿意到这里住。,高级大床房
H25,2020-01-09,还可以，就是没早餐,高级双床房
H25,2020-01-09,早餐很丰富，房间，算是五星级酒店不错的。,豪华行政房
H25,2020-01-09,因喜欢到处游玩，还是比较在意酒店的服务，由于个人身体原因需要多喝水，酒店每天送了两大瓶景田矿泉水，很温馨象家一样！借此平台谢谢！,高级大床房
H25,2020-01-09,共住了7晚，一个老牌五星大堂电梯都不错。特别说说设施，因订房时评价上说设施老旧，还非常担心，但入住后觉得特别是卫生间、房间没有任何异味，服务也很好，酒店的位置也很好，在华强北商圈，个人觉得很好，下次来深圳还会选这家,高级大床房
H25,2020-01-09,舒适宽敞明亮,高级大床房
H25,2020-01-09,服务态度非常好。,高级双床房
H25,2020-01-10,中规中矩的老品牌,高级大床房
H25,2020-01-10,位置不错，其他尚可,高级大床房
H25,2020-01-10,酒店位置非常好，楼下就是地铁站，附近很多东西吃，室内恒温游泳池也很漂亮，冬天也能游泳，有停车场！,高级大床房
H25,2020-01-10,好好好好好,高级大床房
H25,2020-01-10,酒店地理位置优越，就在华强北的华新地铁站上盖，交通方便。酒店虽然是老酒店，但是设施尚算可以，入住送水果。性价比算非常高。,高级大床房
H25,2020-01-10,很好的 服务周到 有插曲也解决了 会有水果送 老牌酒店 房间很大 住了很多次,高级大床房
H25,2020-01-10,再次入住 房间很大 老牌五星,高级大床房
H25,2020-01-11,还可以接受,高级双床房
H25,2020-01-11,还不错 交通还不错,高级大床房
H25,2020-01-11,就是房间灯光暗了点，其他都非常好,高级双床房
H25,2020-01-11,住过几次了，非常满意，这是一间性价比很高的酒店。,高级双床房
H25,2020-01-12,非常好，已经住过很多次了，每次来都选择这家酒店，交通便利，有名的华强北就在附近，吃喝玩乐非常方便，非常好的好的选择！,高级双床房
H25,2020-01-13,托福考试酒店,高级双床房
H25,2020-01-13,酒店地點很便利易找，附近很多商場及各式食肆。房間整潔，只是洗手間有點陳舊，但尚可接受。而不知道為什麼窗戶那邊有聲音，像是金屬冷縮熱脹發出的，有點美中不足。,高级大床房
H25,2020-01-13,位置很好，这么多年品质一直都保证得挺好,高级双床房
H25,2020-01-13,很好，水果好，泳池好。位置好，房间大。,高级大床房
H25,2020-01-14,楼层高度太低了,高级双床房
H25,2020-01-14,总体感觉还好,高级大床房
H25,2020-01-14,服务很不错,高级大床房
H25,2020-01-14,有些旧了的酒店，但性价比还是很不错的,高级大床房
H25,2020-01-14,酒店停车场很大，出行很方便,高级双床房
H25,2020-01-14,性价比超高的酒店,高级大床房
H25,2020-01-15,很好的选择,豪华行政房
H25,2020-01-15,位置优越，地铁口近在咫尺，打车也方便，周边美食配套齐全，泳池不错。忘了住过多少次。性价比还是比较高的。,高级大床房
H25,2020-01-15,老牌的正宗五星级，各方面设施均到位，也符合入住的需求，地处华强北，离地铁非常近。早餐去了行政楼层，不怎么热闹和好吃，还是大堂推荐些,高级大床房
H25,2020-01-15,不知道住了多少次了，交通方便，地铁近在咫尺，打车也好打。周边的美食配套齐全，泳池也不错。还是比较喜欢吧,高级双床房
H25,2020-01-15,酒店大堂豪华，前台服务一般，房间装修一般，空调还是南方一般酒店的中央空调，单模式。不满意插电口，床边无法充电。,高级大床房
H25,2020-01-16,免费停车 服务很好,高级双床房
H25,2020-01-16,就在地铁站出口，非常方便。房间很大，窗户很大，泳池很好。值得再次入住，下次来深圳，有机会会再次选择。,高级大床房
H25,2020-01-16,交通方便，卫生服务很好！吃饭方便，隔壁风凰酒楼食品超赞??????。亲戚每次回深圳特别交代必订圣庭苑酒店！,高级双床房
H25,2020-01-16,交通方便，卫生服务很好！吃饭方便，隔壁风凰酒楼食品超赞??????。亲戚每次回深圳特别交代必订圣庭苑酒店！,高级双床房
H25,2020-01-16,交通方便，卫生服务很好！吃饭方便，隔壁风凰楼酒楼食品超赞??????。亲戚每次回深圳特别交代必订圣庭苑酒店！,高级双床房
H25,2020-01-16,交通方便，卫生服务很好！吃饭方便，隔壁风凰楼酒楼食品超赞??????。亲戚每次回深圳特别交代必订圣庭苑酒店！,高级双床房
H25,2020-01-16,交通方便，卫生服务很好！吃饭方便，隔壁风凰楼酒楼食品超赞??????。亲戚每次回深圳特别交代必订圣庭苑酒店！,高级双床房
H25,2020-01-17,一如既往地干净卫生,高级大床房
H25,2020-01-17,酒店很好，位置也很不错周边很方便,高级大床房
