酒店名称,评论日期,评论内容,入住房型
H13,2020-01-01,早餐味道还不错，但不是广式早茶，有点偏西式，跟其他五星酒店差不多。海景房可以看到港珠澳大桥，床品和设施也不错，空间略小。,豪华海景大床房
H13,2020-01-01,很棒的一次体验、前台看我们带着孩子主动给升级了家庭房、服务热情、早餐丰富味道也很好、酒店经理推荐的行程很棒、房间视野很好能看到港珠澳大桥、很棒的一次体验推荐入住,贵宾楼豪华海景大床房
H13,2020-01-02,环境服务都好,经典山景大床房
H13,2020-01-02,推荐去长隆的爸妈**酒店打卡的话住这家 首先提供商务车接送 车辆整洁司机人好 其次门厅接待人员特别nice 主动帮忙提行李送上楼 特意留意了一下名牌 尹帅哥 我们其实就简短住了一天临走时还追过来送了水果盒 简直是全5星待遇 房间的话面积稍小但也很舒适 要说缺点的话就是餐厅面积稍小 遇到节假日比如跨年就人挤人啦,豪华山景双床房
H13,2020-01-02,很好，早餐环境都很赞,豪华山景大床房
H13,2020-01-02,第一次来**酒店选择了**酒店。房间很棒，环境舒适，设施细节也很到位好评！,豪华山景双床房
H13,2020-01-02,服务和设施没的说，大唐经理也是超赞??,经典海景家庭房
H13,2020-01-03,前台电话告知有迎客水果 结果骗人,豪华山景大床房
H13,2020-01-03,得天独厚的地理优势，屋内环境一般，但早餐太值得，建议大家选择……,贵宾楼豪华海景大床房
H13,2020-01-03,非常好，就是空调太冷,贵宾楼豪华海景大床房
H13,2020-01-03,出机场就看见广告牌啦哈哈,豪华山景双床房
H13,2020-01-03,地理位置不错，贵宾楼海景房正对港珠澳大桥，服务很好，提出的要求都很积极满足，看我们带小孩还送了水果和玩具，早餐除了位置窄了点其他不错，还有小孩餐具，总之入住过程很愉快，下次去**酒店还会选**酒店。,贵宾楼豪华海景大床房
H13,2020-01-03,我们带了小朋友，酒店贴心的给准备了一套小朋友的洗护和拖鞋。总之各种好，就不多说了。风景好极了，在房间可以清楚看到“港珠澳大桥”，住在这里心情好。我们第二天急得赶飞机，没有吃酒店房费里带的早餐，有点遗憾。以后还会再带家里人来住这里。,豪华山景大床房
H13,2020-01-03,预订的是贵宾楼的海景大床房，房间很大，装修也比较新，小朋友在里面跑来跑去，爬上爬下很开心。房间里有两扇落地玻璃窗，可以看到港珠澳大桥，可惜我们去的时候，天气雾蒙蒙的，不能看的很清晰。卫生间干湿分离，没有浴缸，淋浴房里也没有扶手，对于低龄的儿童和高龄的老人，洗澡不是很方便。酒店的早餐不错，中式西式有很多选择，酒店工作人员都很热情友好，主动问好和服务，韦明月经理特别热心，帮忙联系了下一站长隆横琴湾酒店，让我们可以提前入住，还帮忙打包了水果和食物给我们当点心，非常感谢。下次来**酒店，还会选择海湾,贵宾楼豪华海景大床房
H13,2020-01-04,地理位置不错，新装修的，我很满意，下次还会再选择的。,贵宾楼经典海景大床房
H13,2020-01-04,酒店地理位置好，酒店房间直接可看到港珠澳大桥，酒店服务态度好，就餐环境好，房间舒适。前台接待热情，礼宾引导也热情。,豪华海景大床房
H13,2020-01-04,酒店位置和环境都很好，服务人员的态度尤其好，特别是韦明月经理服务很热情，一直很热情的陪我儿子玩耍，感谢韦经理,贵宾楼豪华海景家庭房
H13,2020-01-05,酒店位置好，海景房，距离关口近,贵宾楼豪华海景大床房
H13,2020-01-05,…好像很高兴认识文断字正腔圆,贵宾楼尊贵海景套房
H13,2020-01-05,服务很好,豪华山景大床房
H13,2020-01-05,早晨很好！,贵宾楼豪华海景大床房
H13,2020-01-06,服务好，环境优美，,贵宾楼豪华海景大床房
H13,2020-01-06,北上广深酒店住过很多，但这家的服务真的让人惊艳。 原本订的是山景房，在前台姑娘帮我们升级到海景房，还亲自送我们到电梯口。因为是中午到，下午一直在酒店休息，由于一家三口都感冒了，三个鼻涕虫的鼻涕纸把垃圾桶都堆满了。晚上给孩子洗了随身的衣物。第二天晚上回到酒店，服务员不但帮我们多放了一盒纸巾，还帮我们拿了落地式的晾衣服架子。这么用心的服务，真的还没经历过。 早餐也很不错，餐厅的服务人员听说我们要长隆，不但告诉我们玩的攻略，还为我们准备一个面包，说看表演时怕孩子饿，结果刚进去没一会一盒面包就被小家伙吃掉了。谢谢明月姐姐。 豪华的设施只要是有钱就可以买到，可是用心的服务，是钱买不来的，感谢酒店的所有员工！,豪华山景大床房
H13,2020-01-07,环境优美！美丽**酒店,豪华山景大床房
H13,2020-01-07,非常不错的酒店。位置好，离拱北10分钟车程，在情侣路上，安静。在前台加钱升级了海景家庭房。酒店服务人员非常nice，还给小朋友专用的洗漱用品，尤其是韦明月经理（Ada），给我们去澳门提供很多建议，给我们打包面包，还送了恐龙??给孩子。酒店二楼的中餐厅的268套餐也不错，环境好服务佳，五星级达到了。下次来还会住这里,经典山景双床房
H13,2020-01-07,酒店的服务真的是很好，从check in开始，许小姐就非常的敬业，很专业。父母也住的很开心，早餐丰盛，面馆还有早茶也很好,经典山景双床房
H13,2020-01-07,地理位置绝佳，特地订了海景房观赏珠港澳大桥，没有让我们失望，酒店服务非常棒，早餐美味，是此次行程最满意的一家酒店。,经典海景双床房
H13,2020-01-08,洒店游泳池不好，出水口弄伤脚底,豪华海景双床房
H13,2020-01-08,酒店设施不错，亲子间特别舒服，有两个很大的飘窗，孩子睡上去都没问题，婴儿床虽小，但特别舒服。酒店地理位置绝佳，楼下就是情侣路，还能看到珠港澳大桥，面朝大海，服务也非常好，会提供免费烘干服务，酒店前厅的施经理人也特别好，会详细介绍酒店情况和**酒店怎么玩，帮我们联系车辆和酒店接驳等。还会送夜间甜点和水果，小朋友也有礼物，给了我们极佳的居住体验，下次去**酒店还会住**酒店。,贵宾楼豪华海景大床房
H13,2020-01-09,非常之美好！,豪华山景双床房
