酒店名称,评论日期,评论内容,入住房型
H08,2020-01-01,奈斯！真好 真棒,金华楼标准大床房
H08,2020-01-01,服务很周到,金华楼标准大床房
H08,2020-01-04,这个是惠州的老酒店。,金华楼豪华双床房
H08,2020-01-06,卫生 环境优雅,金华楼标准大床房
H08,2020-01-06,很大，就是旧了一点,金华楼标准大床房
H08,2020-01-10,总体不错，宽敞，明亮，住的比较舒服。,金华楼标准双床房
H08,2020-01-10,嗯 环境不错,金华楼标准大床房
H08,2020-01-11,惠州的老牌酒店，代朋友定的。,贵宾楼标准双床房
H08,2020-01-12,环境可以，房间略有味道,金华楼豪华大床房
H08,2020-01-12,不好。zzzz,贵宾楼豪华双床房
H08,2020-01-12,住的还可以，就是早饭实在是差了一点，我以为这种酒店早饭也还可以的，实际上看看连个快捷酒店都比不上的啊。,金华楼标准大床房
H08,2020-01-16,便宜但老旧了,贵宾楼标准单人房
H08,2020-01-16,挺好的，房间够大,金华楼标准双床房
H08,2020-01-19,"可以住會下次再來訂房,方便",金华楼豪华大床房
H08,2020-01-20,此价格做4星可以了。,金华楼标准大床房
H08,2020-01-20,性价比可以，住住还行,金华楼标准大床房
H08,2020-01-20,干净，隔音好,金华楼标准大床房
H08,2020-01-21,好繼續預訂下次再訂！！！,贵宾楼标准单人房
H08,2020-01-29,酒店位置佳，离西湖公园较近，总台服务员热情，内部设施齐全,金华楼标准大床房
H08,2020-01-31,位置就在江邊附近。附近風景林立。四星級數大酒店果然豪華。雙床房有近六百呎。非常大。租房包早餐。真是超值,金华楼标准双床房
H08,2020-02-01,挺好的，服务很好,金华楼标准大床房
H08,2020-02-03,超级好的酒店，房间大！服务好！早餐超级棒！这是我在惠州这个级别的房间最满意的一次！希望再接再厉，希望越来越好！啦啦啦啦啦啦啦啦啦啦,金华楼标准双床房
H08,2020-02-07,总体不错的，,金华楼标准大床房
H08,2020-02-08,一直都订这里,金华楼标准大床房
H08,2020-02-09,各方面都非常好,金华楼标准大床房
H08,2020-02-11,还不错，住了好几次都还可以，简单舒服??,金华楼标准大床房
