景区名称,评论日期,评论内容,序号
A17,2020-10-06,还可以，挺大的。就是按园中地图也找不到想去的地方。乱走一通。,42169
A17,2020-10-31,适合一家大小出行，适合中老年团出行，散下心，登登高也挺好的,42170
A17,2020-08-14,肇庆**景区主要包括了星湖和七座山峰，它们似北斗七星散落湖中，因而得名；星湖烟波浩瀚，总面积达649万平方米，环湖绿道长达20多公里，串起数个翠绿的小岛，景色十分宜人，整个景区内景点多，范围大，如要一天全部游览完需早上9点到景区，游览到下午点。  首先去星湖湿地公园，在此不仅能看到各种植物，还可观赏到传说的卧佛含丹的奇景。卧佛实为一象形地貌，由阿坡岩和万松岗约1公里长的岩山组成，每年中秋节前后的晴天，夕阳沿卧佛嘴部徐徐而落下，形成了卧佛含丹的自然奇观。  第二站坐船到丹顶鹤生态园，园内有丹顶鹤50多只，它们身姿高雅而端庄，两翅不时轻舒慢舞，引着修长婀娜的脖子，偶而亭亭玉立，偶而轻盈踱步。旁边还有火烈鸟在集体跳舞、觅食。  接着坐船绕鸟类保护岛一周游，据说岛上有白鹭、夜鹭等野生鸟类200多种，纯自然孵化区，没有任何外界打扰。  游船的最后一站是到石洞古庙，俗称太极洞，始建于初唐，为国家重点保护文物。各地香客、游人慕名纷至，广种福田，香火不断。每年农历五月初五财神诞，正月十八财神开金库，更是热闹非凡。   游完各岛后，上岸沿着湖边进入**东门，进门第一座山玉屏岩，山上有三仙观、玉皇殿等寺庙，存有仙气、灵气，常年香火鼎盛。登山道上沿途有十友亭、状元碑、三仙观等众多胜迹。  景区内还有地下山洞，洞内有千年诗廊，也是**摩岩石刻群是蜚声中外的文化遗迹之一，是级重点文物保护单位。据说唐开元年间有名的文章家、书法家李邕就在石室洞口留下的端州石室记。此后，唐、宋朝、明朝各路名人都在洞内外留下了大量的诗文或题名。  游完千年诗廊，往西走，就可见到园内最高的天柱峰了。天柱峰高110米， 山路陡峭、狭窄，走到顶最快也要一小时。到达摘星亭后，站在亭前望去，两岸翠笼，一片湖光，景色入画。,42171
A17,2020-01-18,景区确实挺美，也确实够大，好几个景区连在一起，但是里面其他门票还是要单独购买，去的时候是阴天，估计晴天会好些,42172
A17,2020-05-03,星湖和**其实是一个景区，我们是从东门入园的。先说坐船，**管理比较混乱，有很多游船线路，刚来的人会比较晕，不知道哪个比较好？简单来说，星湖湖的大船45块钱，主要登录三个小岛，可以看到火烈鸟，丹顶鹤和湿地公园，但是看不到溶洞。竹排的小船50块钱一个人是可以看到溶洞的，但是绕的圈比较小，游船时间大概30分钟。一边吃的东西很多，主要是小吃，不是特别贵。游览时间应该在六个小时以上，会玩的更好一点。,42173
A17,2020-10-08,感觉不错，很适合穿汉服去拍照，但是很多门票收费，如果所有景点都看，都体验，300元一个人可能就差不多了。在里面，要么徒步，要么做他们的电车，好像是15元一程一人。,42174
A17,2020-05-11,第二次来，感觉一般吧，有点老旧了，不过景点也就这些山山水水了。淡季出游的好处就是人不多，不过天气还是太热了，这个季节要么去海边，要么去山上，要么就老老实实宅在家里吹空调吧,42175
A17,2020-06-03,总体感觉还是不错的，由于是第一次进去，所以说还是有点蒙，不知道东南西北坐了15块钱的电瓶车，然后又坐了20块钱的电瓶车，感觉门票稍微还是贵了一点，我感觉门票50块钱最多了,42176
A17,2020-06-08,清明去肇庆散散心，值得一去，坐坐船，逛逛溶洞，岩前村美食网红店聚集。推荐附近的星酒店，楼顶观光层能看见**全貌。最后注意防蚊虫、防晒。,42177
A17,2020-02-06,里面很大，可以说是一个绿道，散步骑行都不错，有很多山峰和寺庙还有洞穴，趣味性一般，对于孩子来说没有什么好玩的，就是可以乘船去看 )火烈鸟和丹顶鹤，可以近距离观看，可以给他们喂食，但是里面乱收费，两个普通的冰淇淋40?而且还是随口说的，推荐紫云谷，有山有水人又少。,42178
A17,2020-07-09,我们建议步行游玩，即段练了身体，也体验了更多的精彩。,42179
A17,2020-05-09,**很大，到了售票处才买的票，相当方便，夏天游湖很舒服，先去看火烈鸟、接着是丹顶鹤，有很多小朋友喂黑天鹅和鸭子。绿化也很棒，是吸氧的好去处。,42180
A17,2020-02-19,这是一个被城市环抱的景区，因此交通、生活、购物都是非常便捷的。去的话建议住一晚当地的民宿，**周边都有，但最好的要数**东门附近的岩前村。基本结构和阳朔细节差不多，有清吧、吃饭的……住肯定少不了，一条街都是民宿，随便拣。这里推荐那里的两家宋文化民宿：星湖揽月宋文化酒店、星湖小筑度假客栈，一家是复古设计，一家是徽派建筑设计，住宿体验没得说，还有哪里的私房菜值得一试！最特别的是，住了这么久民宿，有练歌房、汗蒸房和按摩房的民宿，还真是第一次见！,42181
A17,2020-08-16,一点不好玩，来就后悔。,42182
A17,2020-05-24,湖光山色满镜画，秀堆七峰立绿波;  江南西子现南粤，桂峰杨朔复眼前。,42183
A17,2020-05-23,湖光山色，风景秀丽，很美，值得一游。,42184
