景区名称,评论日期,评论内容,序号
A38,2020-02-11,温泉棒棒的，服务挺细致的到处都是工作人员！取票也超级快！泡了还想下次再来的优质温泉，晚上的氛围挺好的呢，假期期间上班的工作人员新年快乐！谢谢你们的服务。,55561
A38,2020-05-23,是咸水的温泉。就是设施有点旧，特别是拖鞋太差了，穿着刺脚的，走几步脚就痛了，建议泡温泉的游客自带拖鞋。,55562
A38,2020-07-09,很好，很满意，下次还会再来的，服务特别好。,55563
A38,2020-08-20,听朋友介绍专门跑来试一下咸水温泉，网上购票优惠一点。虽然路途有点远，但真的不错！内有大大小小很多池，功效各有不同，有两个大的游泳池，也有热矿石床和蒸汽房，整体感觉不错，值得一试。,55564
A38,2020-02-12,温泉设施老旧了，不过，咸水温泉水质还好，也有特色，环境还好，泡池也多。,55565
A38,2020-03-06,很好玩，有好多个温泉池，有些养生池，有些按摩池！还有湿蒸！我个人比较喜欢按摩池，像枪林弹雨，热带雨林，声波功击等！我都玩了几次！价格也不贵，服务态度也很好，有人很会养水的！,55566
A38,2020-07-11,很很很小的一个温泉，其实就是个楼盘，真心不推荐！！！,55567
A38,2020-03-14,还可以。池也很多。就是浴巾在池边不能换新的，干净毛巾。要是可以改善一下就更好了。要是还有姜茶喝更好。,55568
A38,2020-05-26,非常完美的一次温泉体验，里面的温泉种类非常非常多，环境优美,55569
A38,2020-05-22,果真是真的咸水真温泉，只是设施比较旧,55570
A38,2020-04-25,票价合理，环境不错，有时间可以常去，下次可以带上家人一起，真好,55571
A38,2020-04-09,服务还是挺好的，只是早上去很多池都没放水。,55572
A38,2020-05-21,阳西**度假村位于 广东省阳西县东湖生态开发区内，距广州240公里，毗邻325国道，离广湛高速织篢出口仅3公里。拥有300多万平方米的自然园林，60多万平方米的温泉 区域，20多万平方米的湖景水系。山庄内绿树成荫，湖水清澈，四季都有鹭鸟翔集，是天然的绿色氧吧。阳西**旅游度假山庄倚岭伴湖而生，打造以**为核心，生态旅游以及完善的食、住、娱、购等配套设施于一体的的温泉养生旅游度假区。棒！,55573
A38,2020-03-29,很好的咸水温泉，朋友们值得一去，如果要在有餐饮那就更美满了！,55574
A38,2020-02-08,里面很大，有很多泡池，最好预留多一点时间，鱼疗特别喜欢鱼疗，这个是要另外收费的，不喜欢别人带手机进去拍照，希望禁止拍照。,55575
A38,2017-06-17,真正咸水温泉第一次泡，感觉与淡水温泉不同是温顺些无压迫感很舒服，泡长些时间都不觉有什么不适感。泡池多各种式样大小池有53个，另有二个淡水大型游泳池，鱼疗池等任意选用。美中不足是池边未放置毛巾，无设置休息间及攴食。,55576
A38,2020-03-17,总体感觉一般，池子说是有50个，有一些没水，温泉没什么特色。有点旧。,55577
A38,2020-03-17,总体感觉一般，池子说是有50个，有一些没水，温泉没什么特色。有点旧。,55578
A38,2020-02-21,本来一起订了成人票，没想到现场买票更便宜，果断退了**再现场买,55579
A38,2020-02-08,下午去的 刚好换水 环境卫生条件不错,55580
A38,2020-02-07,值得去，我这次住房间就有独立的温泉小池，干净、清静，只是水温高，要计算好放水时间，达到最佳的水温。,55581
A38,2020-02-18,很不错，下次再来。主要看气质,55582
A38,2020-01-26,发生变化和高档次最高性价比的人,55583
A38,2020-02-08,水池不够多，环境还不错，服务也还好，整体满足够。,55584
A38,2020-07-17,阳西**度假村位于 广东省阳西县东湖生态开发区内，距广州240公里，毗邻325国道，离广湛高速织篢出口仅3公里。拥有300多万平方米的自然园林，60多万平方米的温泉 区域，20多万平方米的湖景水系。山庄内绿树成荫，湖水清澈，四季都有鹭鸟翔集，是天然的绿色氧吧。阳西**旅游度假山庄倚岭伴湖而生，打造以**为核心，生态旅游以及完善的食、住、娱、购等配套设施于一体的的温泉养生旅游度假区。,55585
A38,2020-01-15,非常直得一来！环境水质都非常好！,55586
A38,2020-01-06,地方够大，水质清沏，水温适当，非常好。,55587
A38,2020-01-03,挺好，方便，有价格优惠，值得推荐。,55588
A38,2020-12-15,现在是越来越不好了 好多池子都不开放,55589
A38,2020-12-30,很好玩，挺舒服的，冬天最适合泡了,55590
A38,2020-11-25,挺好的，有温泉有泳池下次还会再去。,55591
A38,2020-12-10,还不错很舒服设备挺齐全的下次再来,55592
A38,2020-12-15,非常好。你们快速去泡泡温泉吧！,55593
A38,2020-11-27,还行，下雨都可以温泉。环境优美。,55594
A38,2020-11-11,设备还可以，就周边建满了小区别墅，让整个温泉区少了色彩,55595
A38,2017-02-10,还不错。就是因为是冬季好多池子没开稍显遗憾。园内的餐饮提供种类有点单一。,55596
A38,2020-11-13,我们从广州出发，走高速路一直到那龙出口，出口距阳江温泉度假村仅1公里，方便的很。,55597
A38,2020-03-19,只给了温泉票，没给鱼疗票。,55598
A38,2020-10-11,每次家庭亲子游，方便，轻松，愉快，如果大池冬天有温泉水游泳更好。,55599
A38,2020-11-09,环境不错，房内电视没什么频道，建议房间里的电视联网。娱乐活动少，除了泡温泉就没什么娱乐了。,55600
A38,2020-09-02,还好吧……………………………………,55601
A38,2020-08-08,比较旧了。唯一特色就是咸水温泉。,55602
A38,2020-09-13,多去泡的温泉，感觉开放的池少了，设备越来越陈旧了。,55603
A38,2020-06-02,挺不错的温泉，泡完很好睡,55604
A38,2020-06-20,环境干净，但温泉不多，有些养生池不烫还是普通那些温泉好点唯一能赞，就是干净,55605
A38,2020-07-02,还不错，感觉是第二次来，具体不记得了。,55606
A38,2020-07-03,现在是淡季，80%的温泉池都不放水，希望改善,55607
A38,2020-03-08,来过好多次了，国内少有的**泡的真的好舒服，每次泡完全身都好舒服，提点建议毛巾该换了太旧了，而且只给一条用多要服务员还不给，在其它地方泡温泉毛巾都是可以随意换的。,55608
A38,2020-03-08,温泉没得说，非常满意，来过几次了。就是毛巾太旧了该换了用量还有限制就给一条，其它温泉毛巾都是放在温泉池边上随用随拿毛巾湿了马上换干的，希望这里能改进我们还会常来。,55609
A38,2017-11-22,这个很值得去，私人池很好，只有一个缺陷，就是放水要找工作人员，夜了怪不好意思。,55610
A38,2020-05-12,跟家人去的，不错，种类很多，有一个躺的地方，很舒服,55611
A38,2020-03-17,温泉挺不错，确实是咸咸的，虽然设施比较老旧，还是值得去泡泡,55612
A38,2020-05-14,简陋了些，有些地方在重建中，还会去的哦,55613
A38,2017-09-16,这里交通易寻，从高速路上一路都有指示牌；这里设备完备，特色池、鱼池、热炕应有尽有；这里的特点池：热（枪）带（林）雨（弹）林（雨）池、音波能量池必须得玩，非常好玩！,55614
A38,2020-05-04,还是不错的，不要选节假日去，人少时去比较合适。想要游泳的话记得带上泳帽。,55615
A38,2020-04-30,第一眼感觉有点破，进去之后发现还可以，池子挺多，有蒸汽房、有鱼疗。,55616
A38,2020-04-30,一家人去玩，错开高峰，人少很舒服哦,55617
A38,2020-04-29,温泉环境还好，就是稍贵了一点！,55618
A38,2020-02-15,不错男男女女你呢哈哈哈哈,55619
A38,2017-11-05,水是咸的，与其它的地区的温泉相比比较独特!,55620
A38,2020-02-10,比阳江温泉好多了，到处也有指路人员,55621
A38,2020-01-30,不错 挺好的 就是温度不是很热,55622
A38,2017-09-19,里面环境不错，温泉池数量比较多，但是不同区域之间，相隔得比较远，走过去身体比较凉。温泉水真的是咸的，泡完之后身体爽爽滑滑的，很舒服。,55623
A38,2017-08-14,不错，环境优美，继续支持,55624
A38,2017-10-11,地方比较大，环境还不错，公共温泉池有点小，独立别墅里有独立的温泉池，也有麻将桌等消遣娱乐， 但是餐厅的菜不怎么好吃，小吃一般般，偶尔和家人来住一晚泡泡温泉消遣一下还是不错的,55625
A38,2017-05-31,很多游乐园未开，性价比可以。不算太高级。但游戏互动做得比较好，可以增加更多的游戏或者集体活动会更加热闹。,55626
A38,2017-01-03,里面环境不错，温泉池数量比较多，但是不同区域之间，相隔得比较远，走过去身体比较凉。温泉水真的是咸的，泡完之后身体爽爽滑滑的，很舒服。园区里面晚上灯光不是很足够，有些温泉池泡在里面都很难看清楚对面的环境，这个应该及时修正！不过总的来说还是不错的，下次还会继续过去游玩,55627
A38,2017-11-12,很好，大家都玩得很开心，我觉得不是天然的,55628
A38,2017-02-18,地方比较大，环境还不错，公共温泉池有点小，独立别墅里有独立的温泉池，也有麻将桌等消遣娱乐， 但是餐厅的菜不怎么好吃，小吃一般般，偶尔和家人来住一晚泡泡温泉消遣一下还是不错的,55629
A38,2017-07-07,60大元，还不错。就是温泉旁没毛巾不方便,55630
A38,2017-08-21,矿泉温泉不一般，景观好好，趣味不错，水温合适，舒服的感觉。,55631
A38,2017-08-10,价格不贵，挺干净的，不过冲浪这些开放时间也太短了！,55632
A38,2017-10-05,一般般，太小，没有配套，酒店等都没有,55633
A38,2017-08-22,这里的温泉有辅助治疗的功效，对多种疾病有明显的效果……非常好,55634
A38,2017-09-16,比较失望，很多池水很烫，也有很多池是没水的，最后连沐浴室里的水调到最凉也烫死人。,55635
A38,2017-08-14,这里最大的亮点是温泉水有海水和淡水二种，分别代表两种泡法，比较少见，环境比较好。,55636
A38,2016-10-05,周边环山空气很好，有很多不同的温泉池，也有儿童泳池和成人泳池，在网上订门票不贵，性价比高，食饭宵夜也很方便，开车只须5分钟就有很多大排档和水果档。,55637
A38,2017-07-06,池多，功能多，服务还好。。。。。。。,55638
A38,2017-07-04,还不错不错，景点优美秀丽，很适合出游。,55639
A38,2017-07-12,温泉设施好，服务态度好，温泉池干净，游泳池水质清澈，没有异味，有机会还会再来！,55640
A38,2017-06-02,温馨，舒适，咸咸的温泉水，是朋友、情侣增进感情的好去处。,55641
A38,2017-02-28,温泉还算有点特色。顺路的可以一试,55642
A38,2016-01-09,玩得挺开心的，星期五晚上去的，人不算多，很多种池，每个池泡十五分钟也够玩了，温泉里有很多地方提供水跟茶，边聊方便，泡渴了随时都可以喝一杯，有些设施没有开放，所以我们这次玩的不够尽兴，那个按摩水床坏了两个，我们订票不是很方便，五点多到的前台，发现并没有我们的订单，致电客服也是耽误了我们半个小时才弄好了。总得来说玩得挺开心。建议朋友们挑人少的时间段去玩。,55643
A38,2017-05-01,差差差，水温冰凉冰凉的还温泉,55644
A38,2017-05-01,HK路允许我咯哦YY推荐,55645
A38,2017-04-16,温泉的水很热冬天可是大爱这里，必须赞,55646
A38,2017-03-24,温泉度假村适合家人去，泡泡温泉。,55647
A38,2017-02-03,不错啦！40多个池子以上，价格适中,55648
A38,2017-02-02,人多水脏，里面没有毛巾拿，只有在洗浴时能拿一次毛巾。,55649
A38,2017-02-26,从湛江回广州途中，停留一晚，感觉一般。,55650
A38,2016-01-03,服务很好很周到，设备也很齐全。除了有鱼的那池其他都免费。有很多功能池，也有那个热石床可以在那躺上半个小时。夏天去更好，有水上乐园。沐浴室有帘子，里面有洗发水沐浴露，外面有镜子吹风筒，重点是有棉签，润肤露，梳子，啫喱水。以前去别的地方泡温泉都没有这些东西，所以感觉很不错。32个赞,55651
A38,2017-02-25,玩的很开心，很可惜有少部分措施未开放，期待再来。,55652
A38,2015-12-04,里面环境很好啊，有好多池池泡不完，昨晚下了蒙蒙小雨也好烂漫，有些池上面有小屋子盖淋不了雨，好值的一次,55653
A38,2016-11-15,很便宜但是水不干净的感觉 这个价格 值了,55654
A38,2017-02-13,温泉很多，咸水温泉不多哦，死海的水也是咸的,55655
A38,2016-12-05,不错，温泉蛮正宗的;环境也不赖。,55656
A38,2016-12-02,已经在开发，有很多以此做卖点在兴建,55657
A38,2016-05-15,水质非常好，因为是**，泡完皮肤滑溜溜，游泳池大而清，后悔沒下去游。高温池温度正好，泡完就在旁边石床躺下非常放松。特别令老婆兴奋是听了粤曲好爱者现场唱段。,55658
A38,2016-10-07,门票性价比超高，小朋友可以玩半天，值！,55659
A38,2016-11-23,阳西特色温泉，放松心情，舒缓疲劳,55660
A38,2016-07-31,去到竟然没有下单，好在电话联系后十几分钟办好了，希望以后要继续加强合作,55661
A38,2015-03-02,因为住的所谓温泉酒店要另交68元才能泡在楼顶上的、看起来不那么自然的温泉，所以就来这更有名气的**。在网上订票，很便宜，才64元/人。订票后不到一小时就去了，报上订单号后，领到了门票和更衣柜钥匙。这温泉很有特色，泉池很多，很紧凑，还提供免费的姜茶，绿豆汤等，还有一个休息的大棚内有收费的卡拉OK，2元唱一首歌。泡完温泉后，冲洗的水很大，浴巾毛巾也很新。总之，觉得非常值。有机会会再去。,55662
A38,2016-09-10,这里风景很美，可以坐着躺着享受大自然的清新，是悠闲的好去处，希望大家不要错过如此美好的地方哦，,55663
A38,2015-12-22,虽然冬天没有开水上乐园，但是温泉的选择还是挺多的，因为还要赶路，所以只泡了2个小时，还有很多泉没有泡到，而且是周一人不多，蛮好的，下次还会来。,55664
A38,2016-10-01,这里很不错真的，我第一次泡温泉，这里服务态度又好，温泉质量也可以，比其他的那些五六百的棒多了,55665
A38,2015-12-14,唯一缺点就是冷水池太深了，1.8身高，脚都不能到地。,55666
A38,2016-07-17,不错，还可以，不是周末，人还不算太多。。。,55667
A38,2016-07-12,一家人去泡温泉玩的很开心，取票非常方便。,55668
A38,2016-09-04,这温泉绝对赞，而且有很多种，泡的我好爽,55669
A38,2016-02-15,很好，里面干净整洁，温泉池也比较多，水量足水质好，水温也刚刚好，真不愧为四星级温泉区！大赞！要是那个游泳池的水也能换成温水而不是冷水那就更棒了。,55670
A38,2016-06-12,超棒的，50多个风格不一的独立池，干净，安逸，玩得很满足，很舒服！,55671
A38,2016-06-12,很棒！便宜，干净，很舒服，玩得很尽兴！,55672
A38,2016-06-15,环境优美，设施齐全，值得泡！,55673
A38,2016-08-22,环境不错！出入城区也很方便，附近有很多小食摊，大排档。,55674
A38,2016-02-03,和老公玩得很开心，池比较多，温度也够，星期一去不是很多人。不过沐浴露洗发水什么的太差了，建议还是自己带。,55675
A38,2016-06-11,好好玩 就是水有点浑浊 换谁要及时 每个场太小 人多 药用场总是满人的 没法泡到,55676
A38,2015-12-20,还不错吧，对得起七八十元门票，我是地质工作者，知道阳西的地热资源是全省最丰富，真材实料…稍觉不适的是:拖鞋破烂;一条浴巾从头披到尾，中间没替换，到后面湿透，冷，秋冬季节不应该呀…幸有本地朋友带到海滩玩得开心，海鲜吃得过瘾…总之是开心的一天!,55677
A38,2016-06-12,城市边缘是泡温泉与游泳的好地方,55678
A38,2016-06-30,环境挺好，温泉也不错，值得一去,55679
A38,2016-06-08,环境设备老旧，水上乐园还是不开的，竟然没提前告知，不建议去,55680
A38,2016-02-24,那天天气很好，不觉得冷，水温正好，干净，还不错。,55681
A38,2016-01-31,大家去的时候记得订豪华房，标准间是没有暖气，没有暖气，没有暖气，且里面的设备很旧，很小，而且酒店是没有提前告知的！上一周天气最冷的时候去，差点没给冻死！,55682
A38,2016-02-05,觉得和其他温泉不一样，比较喜欢这个，可能天气比较暖，所以温度不算很高，我觉得高温一点点更舒服,55683
A38,2016-05-01,还行，泡泡温泉………,55684
A38,2015-11-10,还是要说我要做的是我的生活是什么样子！这些天来第一次做这么奇怪为什么在线条更加努力工作赚钱养家养颜抗衰老作用！在家门口等车辆通行能力也不错！一个人主义卖给了我一个小时才把它带回的家。你就算不上朋友在韩国釜山亚运会了吗、一个人打算是什么样子、,55685
A38,2015-11-07,我去过阳江温泉。阳春温泉。恩平帝都温泉。金山温泉。这是第一次来家乡的这个温泉。。说实在的。这个温泉比其他所有的环境都好。。就是今天人太多了。。而且天气不冷。。下次等冷一点来好好享受。推荐哦。水真的有咸味。呵呵,55686
A38,2016-03-23,人少干净，温泉挺好，就是地方小了点！,55687
A38,2016-05-06,阳西**环境优美，温泉很舒服，温泉水很好很纯洁，水池也好多，种类也多，还有水上乐园。,55688
A38,2015-09-19,因为是早上去，所以没什么人，很冷清，很多池都没开，最后去水上乐园玩了下，每个池都差不多，都是咸水，没什么区别，应该不会去第二次，也不会介绍朋友去。,55689
A38,2016-03-11,动态温泉部分很有意思。,55690
A38,2015-10-13,5分，以开业多年的温泉来说，保养得很不错！大部分设施都能正常使用。环境干净卫生，更衣室无异味，很赞！,55691
A38,2015-10-04,刚开始是带着半信半疑的心态去的，但来到了阳西咸水温泉的时候，一切都成为真实了，而且交一百元押金又可以要到一个储存柜，最后押金会全退回来的！废话少说了！这就是传说中的免费‘午餐’而且还是‘五星级’的！………爽到爆啊！,55692
A38,2015-10-08,比想象中要好，尤其碰上国庆优惠期间，真的好划算池子品种很多，很喜欢水疗池，牛奶池泡完真的会忘记自己的洗浴区还备有洗发乳、沐浴露和拖鞋，当然咯，长发妹子完全不用担心，有风筒用。最喜欢的地方还是洗手间，有熏香，不像其它地方，厕所简直不能去。真的可以做到只要带个人和钱包去那么简单方便（有泳衣卖的哟！）下次有机会还会去的。泡完温泉外面还有好多小食，好舒服,55693
A38,2015-10-13,1、温泉位置很好，第一眼就看到一个超大的停车场，停车好方便啊！赞一个。2、验票后换好衣服进入温泉区，看到温泉池和游泳池，很漂亮很舒服，种类齐全，感觉美美的。另外桌子都是船木，很干净的，很赞。3、温泉服务也不错，感觉挺满意的，吃东西很方便，小卖部还有热狗等等的，超好吃。4、温泉周围各种不同的餐馆、小吃店教多，还有养生的美容的，沐足的，想购物的话也有较大的购物广场。5、温泉门口还有一个艺术馆，免费的，超赞的。,55694
A38,2015-11-06,水质量中. 有树叶 水凉. 服务员态度中. 客人需要 就要尽工作责任去满足客人需求. 今天下午整个游泳池就我一个人 还不能跳水. 生意淡正常 泡下温泉工作人员需要对着我们么 尴尬不知？ 希望下次别出现这些小问题。,55695
A38,2015-10-04,十月国庆带一家人去阳江游玩  从东莞到阳江一路都堵 300公里的路程跑了600百公里从9.30出发到晚上6点多钟到 到了阳西水温泉 下着小雨 跑温泉的人还是挺多 晚上人越来越多看着人多我们也泡的差不多 也要去吃饭了 下次有时间还来,55696
A38,2015-10-03,服务态度120分！里面非常的优美，温泉池子很多，不怕要和别人挤一个，并且有很多各具特色的池子。真正做到了物超所值！非常值得来！里面还可以住酒店，一间房子就是一栋独立的小洋楼，还自带温泉。旁边的环境十分优美。傍晚还可以来温泉区泡温泉。还有两个游泳池。这里是在是太赞啦！,55697
A38,2016-02-11,挺干净，然后很多池，傍晚去人不多，泡爽了！！！,55698
A38,2016-04-01,很好的一个适合周末一家出行的地方。,55699
A38,2016-02-09,有意思，可以，值得一玩。,55700
A38,2016-02-08,很好，门票很划算还希望遇上多点这些优惠！,55701
A38,2015-10-05,本来是10月4日的票，但这天遇上台风彩虹，当天是有安全意识的人都不敢出门，10月5日去取门票，可是工作人不肯补票。并说只有当天有效不能补票。破坏力那么强的台风，谁取拿生命开玩笑。这样的景区的工作人员眼中只有金钱没有安全，不进也罢了。,55702
A38,2015-12-12,泉水的水温不够热，只有36一39度左右，这样冷的天气，这样的温度够吗?没有小食只有水喝，而且干湿都不开，反正进去就好象差了点东西的感觉。,55703
A38,2016-03-02,咸水温泉，泡久一点皮肤不会皱，还有水上乐园，很好,55704
A38,2016-02-01,还不错，就是房间没暖气，天气很冷，晚上觉得太冷了。,55705
A38,2016-01-10,很尽兴哦，很嗨心，团购挺划算的，泡着温泉很舒服，超赞,55706
A38,2016-02-25,还不错，温泉不错。就是离更衣室比较远。饮食单调。,55707
A38,2016-01-02,玩的开心，不过感觉似乎水温不够热。,55708
A38,2015-11-10,在家门口等待会被自己感动了？这么点儿什么吧……一样子了、不会有人性中枪杀中国政府对经济的快速发展！一个人主义工了吗、不想活了无痕迹。,55709
A38,2015-11-10,说起这个，还真的很可惜，有种想哭的感觉，进去没10分钟，家里打电话过来说，小孩不肯在哭，要我马上回家，天啊，我泡了没有5分钟，真的有一种痛苦的感觉n,55710
A38,2015-11-09,去了十月一去了一次，十一月三号又去了一次。环境很好，舒适，老人小孩都适合，昨天是晚上去的。跑了一个钟就出来。感觉全身舒服,55711
A38,2015-11-09,阳西，温泉有大大的停车场，环境优雅，有免费的糖水喝。度假的您们，要来（千记本地鸡饭店）尝尝我们的特色菜，家下菜原材料，价格合理！地址：兴华路239号，电话：5578333；谢谢大家的！,55712
A38,2015-11-09,里面有很小温池、有养生池、减肥池、柠檬池、生姜池、等等。。。。。很多很多，还有两个冷水池，一个是大人，一个小孩池。还有水上乐园也很好玩，反正这次去得非常开心！爽！！！！,55713
A38,2015-11-09,"泡温泉就到阳西来，环境优美，水质好、还有就是一定要到：千记饭店；来尝尝、砂仁排骨、罗卜仔煲鸡,还是很多特色菜，家乡菜，期待大家的光临，谢谢！",55714
A38,2015-11-09,久闻阳西**美景与优质的服务，上周末终于身临其境，真的感受到了，7.8号连续都在那度过，真令人回味无穷呀！是个值得推荐亲戚朋友来的好地方。,55715
A38,2015-11-09,已去过多次了，每次的感觉都很好，里面的环境让人很舒服，像是回归大自然，特别是里面有些泉池，有点像世外桃园，建议大家抽空前去体验一番，滋味不错哦！,55716
A38,2016-02-14,这里还行，服务好周到，下次一定再来。,55717
A38,2015-11-08,很好，水很清很干净泡着很舒服，就是平常有点贵，不是我们平常老百姓消费得起的，希望多搞点节目让我们这些穷人也享受享受,55718
A38,2015-11-08,活动价的时候九块九抢的，很开心，只可惜只能买三张，所以朋友不能同行了因为她没支付宝买不了，希望下次还有这样的活动。,55719
A38,2015-11-27,当地居民不友善，坑人，自驾游的朋友不要去阳西，温泉内要悲生意好，就要一年四季都有娱乐设施，增建睡眠区，饮食品要增加了，,55720
A38,2015-11-07,和很多朋友一起去的.感觉很好玩.工作人员也很到位.把茶水送到身边给你喝.服务态度很好.救援人员也一直在辛苦的站岗.遗憾的是没有玩到水滑梯.不过还是要给好评啦,55721
A38,2015-11-07,非常满意，和同事一起去的，9.9元，可以泡温泉也可以游水，池很多人也很多，个别池有点脏，可能是因为周末和有优惠的原因,55722
A38,2015-11-06,好多人呀！天冷了不敢到游泳池游泳。不过还好啦，很便宜，值得我们去玩一下。放假带着小孩和老公去休闲休闲，大家也不防来这里享受一下咸水温泉的感觉。,55723
A38,2015-11-07,相对于从化温泉来说，性价比超高，温泉不贵，环境又好。这边就属于县城，所以吃住都方便。特别赞一下，朋友推荐我们到阳西车站对面那家醉鹅吃中饭，结果真不错。总的来说，算不虚此行了。,55724
A38,2015-11-07,挺好玩的，里面的项目比较多，就是水上乐园那边没开放，有点可惜。整体还是不错的，玩的还开心。下次还会去,55725
